2022/12/17 18:04:44 [notice] 1#1: using the "epoll" event method
2022/12/17 18:04:44 [notice] 1#1: nginx/1.23.3
2022/12/17 18:04:44 [notice] 1#1: built by gcc 10.2.1 20210110 (Debian 10.2.1-6) 
2022/12/17 18:04:44 [notice] 1#1: OS: Linux 5.10.16.3-microsoft-standard-WSL2
2022/12/17 18:04:44 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2022/12/17 18:04:44 [notice] 1#1: start worker processes
2022/12/17 18:04:44 [notice] 1#1: start worker process 20
2022/12/17 18:04:44 [notice] 1#1: start worker process 21
2022/12/17 18:04:44 [notice] 1#1: start worker process 22
2022/12/17 18:04:44 [notice] 1#1: start worker process 23
2022/12/17 18:04:44 [notice] 1#1: start worker process 24
2022/12/17 18:04:44 [notice] 1#1: start worker process 25
2022/12/17 18:04:44 [notice] 1#1: start worker process 26
2022/12/17 18:04:44 [notice] 1#1: start worker process 27
2022/12/17 18:04:44 [notice] 1#1: start worker process 28
2022/12/17 18:04:44 [notice] 1#1: start worker process 29
2022/12/17 18:04:44 [notice] 1#1: start worker process 30
2022/12/17 18:04:44 [notice] 1#1: start worker process 31
2022/12/17 18:04:44 [notice] 1#1: start worker process 32
2022/12/17 18:04:44 [notice] 1#1: start worker process 33
2022/12/17 18:04:44 [notice] 1#1: start worker process 34
2022/12/17 18:04:44 [notice] 1#1: start worker process 35
